            n, insertion_cmp, insertion_swaps, insertion_time,     quick_cmp,   quick_swaps,    quick_time,      heap_cmp,    heap_swaps,     heap_time,     merge_cmp,   merge_swaps,    merge_time
8848,  115023022167,   57452845794,         13890,    1937683806,     176649237,           517,    2322102544,     451190015,           632,    2138288756,     436045978,           741
8849,  115062037325,   57472340106,         14447,    1938146138,     176690525,           629,    2322659039,     451298326,           727,    2138797610,     436150958,           764
8850,  115101066032,   57491841191,         14582,    1938629293,     176731618,           541,    2323215335,     451406587,           628,    2139306489,     436255970,           807
8851,  115140105454,   57511347632,         14028,    1939087213,     176773173,           520,    2323771865,     451514905,           630,    2139815345,     436360984,           741
8852,  115179162457,   57530862862,         14061,    1939547217,     176814580,           544,    2324328110,     451623139,           630,    2140324372,     436465981,           745
8853,  115218227267,   57550381994,         13735,    1939999204,     176856268,           523,    2324884523,     451731417,           630,    2140833437,     436570979,           744
8854,  115257301554,   57569905863,         13799,    1940461368,     176897729,           536,    2325441250,     451839779,           626,    2141342694,     436676089,           747
8855,  115296376098,   57589429859,         13986,    1940926211,     176939187,           526,    2325997922,     451948120,           633,    2141852011,     436781206,           741
8856,  115335453047,   57608955056,         13873,    1941386357,     176980520,           520,    2326554680,     452056470,           627,    2142361442,     436886318,           751
8857,  115374530125,   57628480316,         13668,    1941837526,     177022070,           524,    2327111670,     452164883,           631,    2142870941,     436991447,           767
8858,  115413619296,   57648011621,         13931,    1942302749,     177063691,           532,    2327668520,     452273261,           628,    2143380440,     437096565,           754
8859,  115452719076,   57667548229,         13775,    1942759244,     177105264,           519,    2328225534,     452381668,           626,    2143889965,     437201683,           739
8860,  115491828095,   57687089455,         13636,    1943210945,     177146906,           533,    2328782614,     452490069,           625,    2144399515,     437306812,           739
8861,  115530942337,   57706633291,         14069,    1943691942,     177188342,           542,    2329339746,     452598506,           630,    2144909078,     437411914,           746
8862,  115570063036,   57726180354,         13677,    1944152416,     177229719,           525,    2329897217,     452707006,           624,    2145418715,     437517037,           799
8863,  115609190664,   57745730880,         13629,    1944629256,     177270685,           490,    2330454562,     452815478,           598,    2145928470,     437622199,           715
8864,  115648327305,   57765285911,         13409,    1945095083,     177311807,           513,    2331012044,     452923970,           658,    2146438180,     437727361,           740
8865,  115687470891,   57784844413,         13752,    1945547803,     177353452,           528,    2331569495,     453032476,           627,    2146947959,     437832534,           748
8866,  115726626796,   57804409073,         13754,    1946001876,     177395130,           524,    2332127128,     453140990,           634,    2147458053,     437937802,           734
8867,  115765794124,   57823979443,         13716,    1946476510,     177436510,           528,    2332684541,     453249459,           628,    2147968193,     438043086,           751
8868,  115804961927,   57843550049,         13873,    1946959158,     177477757,           532,    2333242140,     453357980,           625,    2148478125,     438148289,           738
8869,  115844132053,   57863121815,         13563,    1947413801,     177519527,           504,    2333799733,     453466493,           600,    2148988080,     438253504,           707
8870,  115883310784,   57882697882,         13744,    1947870469,     177561124,           518,    2334357259,     453574974,           624,    2149498205,     438358789,           722
8871,  115922491562,   57902274971,         13677,    1948354839,     177602437,           525,    2334915284,     453683595,           652,    2150008313,     438464040,           856
8872,  115961681009,   57921856393,         13392,    1948834290,     177643884,           498,    2335473010,     453792133,           599,    2150518585,     438569294,           718
